track_name,artist_name,frequency,song_ids,release_date,popularity,images,preview,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,label
American Girl,Tom Petty and the Heartbreakers,3,7MRyJPksH3G2cXHN8UKYzP,1976-11-09,73,https://i.scdn.co/image/ab67616d0000b2737e42a53ea7f2ad4f36ab23a5,https://p.scdn.co/mp3-preview/db4577e9d7aaeb59056106a9506a5145abe18d77?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.448,0.55,0.824,2,0.000127,0.366,-5.988,1,0.0334,0.777,114.512,4,nina
American Money,BØRNS,13,4AewKenHXKBt643p473xCk,2015-10-16,68,https://i.scdn.co/image/ab67616d0000b273cc2cf912462d8ae4ef856434,https://p.scdn.co/mp3-preview/83e2b30f9cd1ed27c95aef0b467afbfe4513d78b?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0226,0.542,0.867,6,0.00347,0.116,-5.26,0,0.0813,0.326,134.984,4,nina
"Angel in Your Eyes (feat. Sia, Diplo, and Labrinth)",Sia,12,6k71NlTnn41Vk7RJX7CSbY,2019-04-12,51,https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b,https://p.scdn.co/mp3-preview/179d7f7cd370268e474d0556a011354b0c2b4a88?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0288,0.607,0.616,10,0.0439,0.138,-6.925,1,0.0581,0.698,184.111,4,nina
Animal,Neon Trees,3,1fBl642IhJOE5U319Gy2Go,2010-01-01,71,https://i.scdn.co/image/ab67616d0000b27326ca7305db69aa21efcf2b7a,https://p.scdn.co/mp3-preview/cdd6932553a76b2f506c073b7e560e0e5a6a739a?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.000346,0.482,0.833,5,0.0,0.365,-5.611,1,0.0449,0.74,148.039,4,nina
Another Day Of Sun,La La Land Cast,19,5kRBzRZmZTXVg8okC7SJFZ,2016-12-09,64,https://i.scdn.co/image/ab67616d0000b2730bdf4dd39843ad48c5b66bc4,https://p.scdn.co/mp3-preview/dd2580e68c17f0d2ead13883a3fc32e652104bb3?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0162,0.588,0.742,8,3.98e-06,0.653,-6.757,1,0.0528,0.824,125.819,4,nina
Another One Bites The Dust - Remastered 2011,Queen,12,57JVGBtBLCfHw2muk5416J,1980-06-27,74,https://i.scdn.co/image/ab67616d0000b27307744e2ed983efa3e6620a47,https://p.scdn.co/mp3-preview/1b8bdef53178cd799f25aac15ca5aee42747c2d8?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.112,0.933,0.528,5,0.329,0.163,-6.472,0,0.162,0.756,109.975,4,nina
Anthony Kiedis,Remi Wolf,3,3xJu5hrOU9OvFQSGLQiwQS,2021-10-15,57,https://i.scdn.co/image/ab67616d0000b27316a6cb93e32bf2ae66b1f5b2,https://p.scdn.co/mp3-preview/ecc0d90ca65be6c8dd78c94689f265613ff48d5c?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0279,0.754,0.672,0,1.78e-06,0.0884,-5.641,0,0.0466,0.866,95.05,4,nina
Are You Bored Yet? (feat. Clairo),Wallows,6,57RA3JGafJm5zRtKJiKPIm,2019-03-22,80,https://i.scdn.co/image/ab67616d0000b27384feca0133d9a8e6539a8325,https://p.scdn.co/mp3-preview/075715293e8883dcaa5f21766f94685adfa95886?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.156,0.682,0.683,8,2.32e-05,0.273,-6.444,0,0.0287,0.64,120.023,4,nina
As It Was,Harry Styles,110,4LRPiXqCikLlN15c3yImP7,2022-03-31,96,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.342,0.52,0.731,6,0.00101,0.311,-5.338,0,0.0557,0.662,173.93,4,nina
Astronaut In The Ocean,Masked Wolf,9,3Ofmpyhv5UAQ70mENzB277,2021-01-06,79,https://i.scdn.co/image/ab67616d0000b27397fdd7cf1b14d78c6a7fb17f,https://p.scdn.co/mp3-preview/25243b032639be974f9ba0cc5b7d3010bd7fe371?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.175,0.778,0.695,4,0.0,0.15,-6.865,0,0.0913,0.472,149.996,4,nina
